ds,ora,article,y,pret
8/13/2023,12:25,PAIN AU CHOCOLAT,1,"1,20 €"
8/14/2023,12:25,BAGUETTE,2,"0,90 €"
8/15/2023,12:25,PAIN AU CHOCOLAT,2,"1,20 €"
8/16/2023,12:28,COUPE,1,"0,15 €"
8/17/2023,12:28,GAL FRANGIPANE 4P,1,"8,00 €"
8/18/2023,12:28,MOISSON,1,"2,00 €"
8/19/2023,12:28,COUPE,1,"0,15 €"
8/20/2023,12:28,TRADITIONAL BAGUETTE,4,"1,20 €"
8/21/2023,12:28,FICELLE,2,"0,60 €"
8/22/2023,12:29,CEREAL BAGUETTE,1,"1,25 €"
8/23/2023,12:29,TRADITIONAL BAGUETTE,1,"1,20 €"
8/24/2023,12:32,COUPE,5,"0,15 €"
8/25/2023,12:32,GAL FRANGIPANE 4P,1,"8,00 €"
8/26/2023,12:32,MOISSON,3,"2,00 €"
8/27/2023,12:32,VIK BREAD,2,"2,50 €"
8/28/2023,12:32,PAIN AUX RAISINS,2,"1,40 €"
8/29/2023,12:33,BOULE 400G,1,"1,50 €"
8/30/2023,12:33,COUPE,1,"0,15 €"
8/31/2023,12:34,DIVERS VIENNOISERIE,1,"6,00 €"
9/1/2023,12:34,BAGUETTE,1,"0,90 €"
9/2/2023,12:34,GAL POMME 6P,1,"12,00 €"
9/3/2023,12:36,GAL FRANGIPANE 4P,1,"8,00 €"
9/4/2023,12:36,QUIM BREAD,1,"1,00 €"
9/5/2023,12:36,COOKIE,2,"1,00 €"
9/6/2023,12:36,BANETTE,2,"1,05 €"
9/7/2023,12:36,BANETTE,1,"1,05 €"
9/8/2023,12:37,COUPE,1,"0,15 €"
9/9/2023,12:37,SPECIAL BREAD KG,1,"4,80 €"
9/10/2023,12:38,TRADITIONAL BAGUETTE,2,"1,20 €"
9/11/2023,12:38,TRADITIONAL BAGUETTE,2,"1,20 €"
9/12/2023,12:39,TRADITIONAL BAGUETTE,1,"1,20 €"
9/13/2023,12:39,BANETTE,2,"1,05 €"
9/14/2023,12:39,TRADITIONAL BAGUETTE,2,"1,20 €"
9/15/2023,12:40,BOULE 400G,1,"1,50 €"
9/16/2023,12:40,GD KOUIGN AMANN,1,"7,50 €"
9/17/2023,12:40,TRADITIONAL BAGUETTE,1,"1,20 €"
9/18/2023,12:40,CEREAL BAGUETTE,1,"1,25 €"
9/19/2023,12:40,BOULE POLKA,1,"1,60 €"
9/20/2023,12:41,TRADITIONAL BAGUETTE,3,"1,20 €"
9/21/2023,12:42,COOKIE,1,"1,00 €"
9/22/2023,12:42,KOUIGN AMANN,1,"2,10 €"
9/23/2023,12:42,TRADITIONAL BAGUETTE,2,"1,20 €"
9/24/2023,12:43,COUPE,1,"0,15 €"
9/25/2023,12:43,MOISSON,1,"2,00 €"
9/26/2023,12:43,CEREAL BAGUETTE,1,"1,25 €"
9/27/2023,12:43,BANETTE,1,"1,05 €"
9/28/2023,12:44,GAL FRANGIPANE 4P,1,"8,00 €"
9/29/2023,12:44,BANETTE,2,"1,05 €"
9/30/2023,12:45,TRADITIONAL BAGUETTE,1,"1,20 €"
10/1/2023,12:45,BAGUETTE,1,"0,90 €"
10/2/2023,12:46,PAIN,1,"1,15 €"
10/3/2023,12:46,PAIN BANETTE,1,"1,40 €"
10/4/2023,12:47,BANETTE,1,"1,05 €"
10/5/2023,12:48,COUPE,1,"0,15 €"
10/6/2023,12:48,VIK BREAD,1,"2,50 €"
10/7/2023,12:48,GAL POMME 4P,1,"8,00 €"
10/8/2023,12:50,GAL POMME 4P,1,"8,00 €"
10/9/2023,12:50,BANETTE,2,"1,05 €"
10/10/2023,12:50,TRADITIONAL BAGUETTE,2,"1,20 €"
10/11/2023,12:51,GAL POMME 4P,1,"8,00 €"
10/12/2023,12:51,CEREAL BAGUETTE,6,"1,25 €"
10/13/2023,12:53,GAL POMME 6P,1,"12,00 €"
10/14/2023,12:53,GAL FRANGIPANE 6P,1,"12,00 €"
10/15/2023,12:54,PAIN BANETTE,1,"1,40 €"
10/16/2023,12:54,BANETTE,1,"1,05 €"
10/17/2023,12:54,CROISSANT,3,"1,10 €"
10/18/2023,12:54,PAIN AU CHOCOLAT,3,"1,20 €"
10/19/2023,12:55,GAL POMME 4P,1,"8,00 €"
10/20/2023,12:55,BAGUETTE,2,"0,90 €"
10/21/2023,12:55,BAGUETTE,1,"0,90 €"
10/22/2023,12:55,TRADITIONAL BAGUETTE,1,"1,20 €"
10/23/2023,12:55,BANETTE,1,"1,05 €"
